"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Choapa","Salamanca","2009-2010","SANTA ROSA","2009-10-07","11:30",420,"Sin alerta","No definido","No definida",0,0,0,0,0,0.4,1.5,3,0.1,0,5,-31.8983333333333,-70.75,"WGS84"
"Coquimbo","Limarí","Punitaqui","2009-2010","LAS GARZAS","2009-10-19","13:00",360,"Sin alerta","No definido","No definida",0,0,0,3,0,18,44.6,30,1,0,96.6,-30.7705555555556,-71.3352777777778,"WGS84"
"Coquimbo","Choapa","Los Vilos","2009-2010","CULIMO","2009-10-29","13:00",150,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.01,0,0,0.01,-32.0802777777778,-71.2302777777778,"WGS84"
"Coquimbo","Elqui","Coquimbo","2009-2010","EL PEÑON","2009-11-06","15:00",240,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.07,0,0,0.07,-30.1502777777778,-71.2166666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2009-2010","LA CHIMBA","2009-12-01","14:30",280,"Sin alerta","No definido","No definida",0,0,0,0.3,0,0,0.15,0.05,0,0.3,0.8,-30.6191666666667,-71.2169444444445,"WGS84"
"Coquimbo","Limarí","Monte Patria","2009-2010","RIO PONIO","2009-12-02","15:30",1425,"Sin alerta","No definido","No definida",0,0,0,0,0,10,40,160,0,0,210,-30.7530555555556,-70.7186111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2009-2010","SANTA CATALINA","2009-12-15","10:00",200,"Sin alerta","No definido","No definida",0,0,0,0,0,5,47,4,0,0,56,-30.6277777777778,-71.2483333333333,"WGS84"
"Coquimbo","Elqui","Coquimbo","2009-2010","LOS MAITENES","2010-01-01","15:10",235,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.1,7.9,0,0,8,-30.2188888888889,-71.4052777777778,"WGS84"
"Coquimbo","Choapa","Los Vilos","2009-2010","EL MOLLAR","2010-01-20","15:00",240,"Sin alerta","No definido","No definida",0,0,0,0,0,1,5,7,0,0,13,-31.8705555555556,-71.3519444444444,"WGS84"
"Coquimbo","Elqui","Vicuña","2009-2010","CHIN CHIN","2010-01-21","17:00",350,"Sin alerta","No definido","No definida",0,0,0,0,0,0.02,0.03,0.05,0,0,0.1,-30.0397222222222,-70.7580555555556,"WGS84"
