"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Elqui","Coquimbo","2008-2009","PLAYA CHANGA","2008-10-13","12:30",390,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,1.5,0,0,2,-29.9680555555556,-71.3163888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","BOSQUE LA CHIMBA","2008-10-16","12:15",525,"Sin alerta","No definido","No definida",0,0,0,4,0,0,0,0,0,0,4,-30.6372222222222,-71.2277777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","PACHINGO","2008-11-27","11:00",240,"Sin alerta","No definido","No definida",0,0,0,0.5,0,0,0,0.1,0,0,0.6,-30.4777777777778,-71.5469444444444,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","LA PLACA","2008-11-27","12:30",300,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.3,0.1,0,0,0.4,-30.5897222222222,-71.3516666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","BOSQUE LA CHIMBA 1","2008-11-30","20:00",1080,"Sin alerta","No definido","No definida",0,0,0,2.8,0,0,0.1,0.1,0,0,3,-30.6102777777778,-71.2063888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","BOSQUE LA CHIMBA 2","2008-12-01","18:30",1170,"Sin alerta","No definido","No definida",0,0,0,0.4,0,0,0.1,0,0,0,0.5,-30.6194444444444,-71.2063888888889,"WGS84"
"Coquimbo","Choapa","Illapel","2008-2009","ALCAPARROZA","2008-12-03","19:00",1060,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,1,0,0,1.5,-31.4530555555556,-70.9733333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","RECOLETA","2008-12-08","15:30",1240,"Sin alerta","No definido","No definida",0,0,0,0,0,0.5,0.5,1,0,0,2,-30.4938888888889,-71.1619444444444,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","LAS PICINAS","2008-12-09","12:00",200,"Sin alerta","No definido","No definida",0,0,0,0,0,0.3,0.3,0.4,0,0,1,-30.6369444444444,-71.2380555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","SIBERIA","2008-12-10","15:00",1350,"Sin alerta","No definido","No definida",0,0,0,0,0,1.7,3,2,0,0,6.7,-30.6172222222222,-71.3316666666667,"WGS84"
"Coquimbo","Limarí","Monte Patria","2008-2009","JUNTAS","2008-12-13","16:00",1190,"Sin alerta","No definido","No definida",0,0,0,0,0,0.5,1.9,0.5,0.1,0,3,-30.7236111111111,-70.8852777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","COSTANERA","2008-12-14","14:30",130,"Sin alerta","No definido","No definida",0,0,0,0.09,0,0,0.02,0,0,0,0.11,-30.6194444444444,-71.2063888888889,"WGS84"
"Coquimbo","Choapa","Salamanca","2008-2009","EL CHACAY","2008-12-14","14:20",280,"Sin alerta","No definido","No definida",0,0,0,2,0,8,14,36,0,0,60,-31.8697222222222,-70.6247222222222,"WGS84"
"Coquimbo","Elqui","La Serena","2008-2009","ALTOVALSOL","2008-12-17","18:00",220,"Sin alerta","No definido","No definida",0,0,0,0.5,0,0,0,0,0,0,0.5,-29.935,-71.1394444444445,"WGS84"
"Coquimbo","Choapa","Salamanca","2008-2009","PORTONES","2008-12-21","15:10",1180,"Sin alerta","No definido","No definida",0,0,0,0,0,0,25,43,0,0,68,-31.8552777777778,-70.6266666666667,"WGS84"
"Coquimbo","Elqui","La Serena","2008-2009","PARQUE COLL","2008-12-24","15:50",100,"Sin alerta","No definido","No definida",0,0,0,0.2,0,0,0.3,0.5,0,0,1,-29.9147222222222,-71.2633333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","LOS LOROS","2008-12-26","09:00",370,"Sin alerta","No definido","No definida",0,0,0,0,0,0,1.4,0.1,0,0,1.5,-30.7383333333333,-71.6058333333333,"WGS84"
"Coquimbo","Choapa","Los Vilos","2008-2009","LOS MAQUIS","2009-01-25","14:30",345,"Sin alerta","No definido","No definida",0,0,0,0,0,1,1,3,0,0,5,-32.1122222222222,-71.4536111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","ALGARROBO","2009-01-27","12:30",235,"Sin alerta","No definido","No definida",0,0,0,0,0,0.4,0.6,0,0,3,4,-30.6175,-71.3108333333333,"WGS84"
"Coquimbo","Choapa","Los Vilos","2008-2009","QUEBRADA SECA","2009-02-05","17:15",155,"Sin alerta","No definido","No definida",0,0,0,0,0,1,3,5,0,0,9,-32.1027777777778,-71.4638888888889,"WGS84"
"Coquimbo","Choapa","Los Vilos","2008-2009","MATADERO","2009-02-08","13:30",150,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.3,0.7,0,0,1,-32.1113888888889,-71.4852777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","VIÑITA","2009-02-09","18:00",120,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.05,0.04,0.01,0,0.0999999999999999,-30.5930555555556,-71.1641666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","EL TRAPICHE","2009-02-10","13:35",240,"Sin alerta","No definido","No definida",0,0,0,0,0,0.2,1.3,0.5,0,0,2,-30.6072222222222,-71.3836111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","EL TRAPICHE 1","2009-02-11","15:00",57,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.05,0.1,0,0,0.15,-30.6163888888889,-71.3836111111111,"WGS84"
"Coquimbo","Elqui","La Serena","2008-2009","CUATRO ESQUINAS","2009-02-12","17:00",70,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.01,0,0,0.01,-29.9416666666667,-71.2741666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","SAN JULIAN","2009-02-13","16:30",260,"Sin alerta","No definido","No definida",0,0,0,0.5,0,2,0,0.5,0,0,3,-30.6441666666667,-71.3322222222222,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","SAN JULIAN 1","2009-02-18","18:00",46,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.01,0,0,0,0.01,-30.6536111111111,-71.3219444444444,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","ORURO","2009-02-23","16:00",130,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.02,0.01,0,0,0.03,-30.6511111111111,-71.4575,"WGS84"
"Coquimbo","Limarí","Ovalle","2008-2009","SOTAQUI","2009-02-24","12:00",360,"Sin alerta","No definido","No definida",0,0,0,5,0,0,1.5,1.5,0,0,8,-30.6388888888889,-71.1233333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2008-2009","PUERTAS DEL MAR","2009-03-20","11:50",70,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.01,0.01,0,0,0.02,-29.9055555555556,-71.2733333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2008-2009","VICENTE ZORRILLA","2009-03-25","12:30",43,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.03,0,0,0,0.03,-29.8969444444444,-71.2525,"WGS84"
"Valparaíso","Quillota","Calera","2008-2009","PACHACAMITA","2008-09-21","11:32",1423,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,5,0,0,6,4,0,0,15,-32.8113888888889,-71.1841666666667,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","R.N.P.L  SECTOR NORTE","2008-10-22","09:40",168,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0.01,0,0,0,0,0,0.01,-33.1380555555556,-71.5566666666667,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","MIRADOR O`HIGGINS","2008-11-03","15:50",61,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.01,0.01,0,0,0.02,-33.0652777777778,-71.5866666666667,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","EL PAJONAL","2008-11-05","16:11",112,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,5,0,0,2,0,0,3,10,-33.0738888888889,-71.6083333333333,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","LOS PAJARITOS","2008-11-06","12:25",59,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0.01,0,0,0,0,0.01,0,0,0,0.02,-33.1022222222222,-71.545,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","R.N.L.P SECTOR LAS LATAS","2008-11-06","17:11",110,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0,0.01,0.01,0,0,0.02,-33.1480555555556,-71.5141666666667,"WGS84"
"Valparaíso","Quillota","Nogales","2008-2009","ALTO PUCALAN","2008-11-06","17:40",1298,"Sin alerta","No definido","Confección y/o extracción productos secundarios del bosque",0,0,0,0,0,0.3,0.5,0,0,0,0.8,-32.6925,-71.2775,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2008-2009","JARDIN BOTANICO","2008-11-08","12:29",51,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.01,0.02,0,0,0.03,-33.0491666666667,-71.49,"WGS84"
"Valparaíso","Marga Marga","Olmué","2008-2009","LO CASTRO","2008-11-08","12:51",489,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.03,0.07,0,0,0.1,-33.0844444444444,-71.0411111111111,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2008-2009","VILLA ARAUCO","2008-11-08","14:54",64,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.2,0.1,0,0,0.3,-33.0222222222222,-71.4891666666667,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2008-2009","NUEVO PLACILLA","2008-11-08","16:29",83,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0.05,0,0,0.05,0,0,0,0.1,-33.1208333333333,-71.5133333333333,"WGS84"
