"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Limarí","Ovalle","2004-2005","EL INGENIO","2004-11-05","14:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,20,40,0,0,60,-30.5652777777778,-71.2052777777778,"WGS84"
"Coquimbo","Elqui","La Serena","2004-2005","EL FARO","2004-11-03","13:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,1,0,0,1.5,-29.9055555555556,-71.2733333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2004-2005","PAMPA ALTA","2004-11-02","17:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0,0,0.01,0.01,-29.9333333333333,-71.2325,"WGS84"
"Coquimbo","Elqui","La Serena","2004-2005","PARQUE COLL","2004-12-02","17:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.01,0,0,0.01,-29.9058333333333,-71.2630555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2004-2005","HUAMALATA","2004-12-10","09:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.75,0,0,0.75,-30.5661111111111,-71.1636111111111,"WGS84"
"Coquimbo","Choapa","Los Vilos","2004-2005","CASCABELES","2004-12-11","12:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.6,2.4,0,0,3,-31.9761111111111,-71.4922222222222,"WGS84"
"Coquimbo","Choapa","Illapel","2004-2005","CERRILLOS POBRES","2004-12-21","11:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.05,0,0,0.05,-30.6505555555556,-71.4783333333333,"WGS84"
"Coquimbo","Choapa","Illapel","2004-2005","CANELILLO","2004-12-21","15:10",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,1,2,0,0,3,-31.7641666666667,-71.2544444444444,"WGS84"
"Coquimbo","Choapa","Los Vilos","2004-2005","QUEREO","2004-12-22","17:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.12,0,0,0.12,-31.9305555555556,-71.5122222222222,"WGS84"
"Coquimbo","Choapa","Salamanca","2004-2005","LA PALMILLA","2004-12-23","04:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0.5,30,20,9.5,0,0,60,-31.7169444444444,-70.81,"WGS84"
"Coquimbo","Choapa","Illapel","2004-2005","LAS CAÑAS 1","2004-12-30","08:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0.7,0.1,0.2,0,1,2,-31.7541666666667,-71.3069444444444,"WGS84"
"Coquimbo","Choapa","Los Vilos","2004-2005","PICHIDANGUI","2005-01-01","21:15",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,1.4,0.6,0,0,2,-32.1561111111111,-71.5077777777778,"WGS84"
