"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Tarapacá","Tamarugal","Pozo Almonte","2017-2018","CAMIÑA","2018-06-01","11:00",200,"Sin alerta","IFor-Vn","Faenas forestales",0,0,0,0,0,0,0,1,0,0,1,-20.0713888888889,-69.2130555555556,"WGS84"
"Atacama","Copiapó","Copiapó","2017-2018","CHAMONATE COPIAPÓ","2017-09-23","14:30",150,"Sin alerta","IFIUr-Fo","Incendios de causa desconocida",0,0,0,0,0,0.26,0.91,0.13,0,0,1.3,-27.2894444444444,-70.4233333333333,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR EL MORRO","2017-11-17","18:30",1097,"Sin alerta","IFor-Vn","Actividades recreativas",0,0,0,2.1,0,0,3.1,0,0,0,5.2,-28.5988888888889,-70.7208333333333,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR ANTENA","2017-11-22","10:50",68,"Sin alerta","IFor-Vn","Quema de desechos",0,0,0,0,0,0,0.003,0,0,0,0.003,-28.5986111111111,-70.7202777777778,"WGS84"
"Atacama","Copiapó","Copiapó","2017-2018","SECTOR CHAMONATE","2017-11-29","12:50",328,"Sin alerta","IFor-Vn","Faenas agrícolas y pecuarias",0,0,0,0,0,0,0.03,0,0,0,0.03,-27.2922222222222,-70.4375,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR VENTANAS","2017-12-09","12:50",75,"Sin alerta","IFor-Vn","Quema de desechos",0,0,0,2.2,0,0,2.75,0.55,0,0,5.5,-28.5536111111111,-70.8077777777778,"WGS84"
"Atacama","Copiapó","Copiapó","2017-2018","PIEDRA COLGADA","2017-12-09","14:30",300,"Sin alerta","IFor-Vn","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0.1,0.15,0,0,0,0.25,-27.3105555555556,-70.4941666666667,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR EL JILGERO","2017-12-16","17:25",169,"Sin alerta","IFor-Vn","Quema de desechos",0,0,0,0,0,0,0,0.006,0,0,0.006,-28.5944444444444,-70.7325,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR VIVERO MUNICIPAL","2017-12-23","13:40",1429,"Sin alerta","IFIUr-Fo","Actividades recreativas",0,0,0,0,0,0.065,1.125,0,0,0,1.19,-28.5888888888889,-70.7377777777778,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","CAMINO ANTIGUO EL JILGUERO","2017-12-26","13:20",719,"Sin alerta","IFIUr-Fo","Actividades recreativas",0,0,0,0,0,0.065,0,0,0,0,0.065,-28.59,-70.7372222222222,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","HACIENDA VENTANAS","2018-01-18","16:00",330,"Sin alerta","IFor-Vn","Actividades recreativas",0,0,0,0,0,5,5,10,0,0,20,-28.5380555555556,-70.8425,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR LA VERBENA","2018-02-09","16:19",191,"Sin alerta","IFIUr-Fo","Actividades recreativas",0,0,0,0,0,0,0.35,0,0,0,0.35,-28.6563888888889,-70.6763888888889,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR CHAÑAR BLANCO","2018-02-13","16:49",101,"Alerta amarilla","IFIUr-Fo","Actividades recreativas",0,0,0,1,0,4,6,0,0,0,11,-28.6425,-70.6936111111111,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR LA FLORIDA","2018-02-19","16:30",1272,"Sin alerta","IFor-Vn","Faenas agrícolas y pecuarias",0,0,0,0.7,0,0,0,0.5,0,0,1.2,-28.5380555555556,-70.8930555555555,"WGS84"
"Atacama","Huasco","Freirina","2017-2018","MAITENCILLO","2018-02-22","18:00",88,"Alerta amarilla","IFor-Vn","Actividades recreativas",0,0,0,6.3,0,3.7,0,0,0,0,10,-28.5366666666667,-70.9147222222222,"WGS84"
"Atacama","Huasco","Freirina","2017-2018","MAITENCILLO 2","2018-03-01","12:00",238,"Sin alerta","IFor-Vn","Actividades recreativas",0,0,0,0.5,0,0,0,0,0,0,0.5,-28.5427777777778,-70.9130555555556,"WGS84"
"Atacama","Huasco","Alto del Carmen","2017-2018","CONAI","2018-03-07","16:37",380,"Sin alerta","IFor-Vn","Accidentes eléctricos",0,0,0,0,0,0.05,0,0,0,0,0.05,-28.9680555555556,-70.1363888888889,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","CASA EMAU","2018-03-09","19:10",200,"Sin alerta","IFor-Vn","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0,0.06,0,0,0.06,-28.5916666666667,-70.7386111111111,"WGS84"
"Atacama","Huasco","Huasco","2017-2018","HUMEDAL CARRIZAL BAJO","2018-04-01","13:00",1380,"Sin alerta","IFor-Vn","Quema de desechos",0,0,0,0,0,0,4,0,0,0,4,-28.0933333333333,-71.14,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR EL MORRO","2018-04-18","18:00",990,"Sin alerta","IFor-Vn","Quema de desechos",0,0,0,0,0,0.1,0,0.4,0,0,0.5,-28.5988888888889,-70.7261111111111,"WGS84"
"Atacama","Huasco","Vallenar","2017-2018","SECTOR JILGERO","2018-04-21","14:30",348,"Sin alerta","IFor-Vn","Incendios intencionales",0,0,0,0,0,0.4,0.1,0,0,0,0.5,-28.5938888888889,-70.7336111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2017-2018","CARACHILLAS","2017-10-10","18:30",1310,"Sin alerta","IFor-Vn","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,2,2.5,0.5,0,0,5,-30.6816666666667,-71.0608333333333,"WGS84"
