"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Elqui","Coquimbo","2003-2004","CAMARONES","2003-10-12","11:30",10,"Sin alerta","No definido","No definida",0,0,0,0,0,0,30,60,0,0,90,-30.3738888888889,-71.3258333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2003-2004","RECOLETA","2003-10-15","13:50",100,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.3,0,0,0.3,-30.4847222222222,-71.1616666666667,"WGS84"
"Coquimbo","Choapa","Los Vilos","2003-2004","FUNDO MAIMALICAN   GUANGUALI","2003-10-17","13:30",390,"Sin alerta","No definido","No definida",0,0,0,0,0,0,3,12,0,0,15,-32.1322222222222,-71.3375,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","EL POLIGONO","2003-10-20","14:40",275,"Sin alerta","No definido","No definida",0,0,0,0,0,0,5,45,0,0,50,-29.8705555555556,-71.2105555555556,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","CERRO GRANDE","2003-10-21","16:00",300,"Sin alerta","No definido","No definida",0,0,0,0,0,0,1,2.5,0,0,3.5,-29.9605555555556,-71.2183333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","LA VARILLA","2003-10-27","14:00",300,"Sin alerta","No definido","No definida",0,0,0,0,0,0,5,25,0,0,30,-29.8438888888889,-71.1891666666667,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","PARQUE COLL","2003-10-27","14:15",115,"Sin alerta","No definido","No definida",0,0,0,0.19,0,0,0,0.01,0,0,0.2,-29.915,-71.2527777777778,"WGS84"
"Coquimbo","Choapa","Los Vilos","2003-2004","PICHIDANGUI","2003-11-09","21:00",60,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.01,0,0,0.01,-32.1469444444444,-71.5180555555555,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","EL OLIVAR","2003-11-10","15:00",180,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,1.5,0,0,1.5,-29.88,-71.19,"WGS84"
"Coquimbo","Choapa","Los Vilos","2003-2004","QUELON","2003-11-11","09:00",270,"Sin alerta","No definido","No definida",0,0,0,0.4,0,7,2.5,5,0.1,0,15,-32.0994444444444,-71.1672222222222,"WGS84"
"Coquimbo","Limarí","Ovalle","2003-2004","TUQUI","2003-11-13","13:00",240,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,1,0,0,1.5,-30.5477777777778,-71.1736111111111,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","CERRO LA CRUZ","2003-11-20","16:00",210,"Sin alerta","No definido","No definida",0,0,0,0,0,0,5,10,0,0,15,-29.8797222222222,-71.2002777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2003-2004","PARCELA MARGARITA","2003-11-21","11:30",270,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,2,0,0,2.5,-30.5475,-71.1838888888889,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","PAMPA ALTA","2003-11-21","18:00",110,"Sin alerta","No definido","No definida",0,0,0,0.01,0,0,0,0.04,0,0,0.05,-29.9333333333333,-71.2325,"WGS84"
"Coquimbo","Choapa","Los Vilos","2003-2004","FUNDO LA VIÑA","2003-11-23","12:20",500,"Sin alerta","No definido","No definida",0,0,0,0,0,0,30,70,0,0,100,-32.1494444444444,-71.3908333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2003-2004","BRAMADERO","2003-11-24","12:15",165,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.2,0.5,0,0,0.7,-30.4755555555556,-71.1719444444444,"WGS84"
"Coquimbo","Elqui","La Serena","2003-2004","PUERTAS DEL MAR","2003-11-25","17:00",180,"Sin alerta","No definido","No definida",0,0,0,0.4,0,0,0,0.1,0,0,0.5,-29.8958333333333,-71.2602777777778,"WGS84"
