"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Limarí","Rio Hurtado","2010-2011","MORRILLOS","2010-10-07","13:00",240,"Sin alerta","No definido","Quema de desechos",0,0,0,5,0,5,15,5,0,0,30,-30.3111111111111,-70.7211111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA CHIMBA","2010-10-07","15:00",300,"Sin alerta","No definido","Incendios intencionales",0,0,0,4,0,0,0,0,0,0,4,-30.6191666666667,-71.2272222222222,"WGS84"
"Coquimbo","Elqui","Vicuña","2010-2011","LOS ALGODONES","2010-11-03","14:30",600,"Sin alerta","No definido","Accidentes eléctricos",0,0,0,0.1,0,0,0.5,0.4,0,0,1,-29.9927777777778,-70.9022222222222,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","EL ROMERO","2010-11-10","11:00",225,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,1.5,0.2,0,0,1.7,-30.6575,-71.5933333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","ORURO","2010-11-11","14:00",98,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0.18,0.02,0,0,0.2,-30.6588888888889,-71.51,"WGS84"
"Coquimbo","Choapa","Canela","2010-2011","QUEBRADA LA HUERTA","2010-11-14","11:30",485,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,2,3,0,0,5,-31.2358333333333,-71.525,"WGS84"
"Coquimbo","Choapa","Illapel","2010-2011","RAVANALES","2010-11-17","10:00",180,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,5,25,15,0,0,45,-31.38,-71.0241666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA SILLETA","2010-11-20","09:30",90,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0,0.05,0,0,0.05,-30.61,-71.2272222222222,"WGS84"
"Coquimbo","Limarí","Combarbalá","2010-2011","VALLE HERMOSO","2010-12-05","15:30",1340,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0.8,0.2,0,0,1,-31.1741666666667,-70.9255555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","QUEBRADA EL INGENIO","2010-12-06","14:50",310,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,1,0,0,0,1,-30.6097222222222,-71.2480555555556,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","AFALFARES","2010-12-07","10:00",60,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0,0.01,0,0,0.01,-29.9066666666667,-71.2113888888889,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","ALGARROBITOS","2010-12-09","13:00",275,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0.7,0.3,0,0,1,-29.9441666666667,-71.1291666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA PLACA","2010-12-12","10:00",280,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0.2,0.3,0.1,0,0,0.6,-30.6255555555556,-71.3736111111111,"WGS84"
"Coquimbo","Elqui","Coquimbo","2010-2011","GUANAQUEROS","2010-12-12","14:50",130,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,5,0,15,170,0,0,190,-30.2002777777778,-71.4358333333333,"WGS84"
"Coquimbo","Choapa","Illapel","2010-2011","ASIENTO VIEJO","2010-12-28","10:00",310,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,1,7,0,0,8,-31.6133333333333,-71.1030555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA CHIMBA 1","2010-12-31","22:30",840,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,8,0,0,0,0,0,0,8,-30.6372222222222,-71.2277777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","EL TALHUEN","2011-01-02","16:50",1270,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,2,18,1,0,0,21,-30.5636111111111,-71.3094444444444,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","EL ROMERO","2011-01-05","11:50",215,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,3,15,0,0,18,-29.8369444444444,-71.065,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","PANORAMICA","2011-01-07","15:25",140,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0,0.1,0,0,0.1,-30.6725,-71.2597222222222,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","EL HINOJAL","2011-01-15","15:30",1392,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,8,0,0,1,3,0,0,12,-29.9991666666667,-71.0786111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA TORRE","2011-01-17","11:00",465,"Sin alerta","No definido","Faenas agrícolas y pecuarias",0,0,0,0.1,0,0.1,4.3,0.2,0,0,4.7,-30.6341666666667,-71.3944444444444,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","EL HINOJAL 1","2011-01-17","13:00",120,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.7,0,0,0.3,0,0,0,1,-29.9991666666667,-71.0786111111111,"WGS84"
"Coquimbo","Choapa","Los Vilos","2010-2011","CERRO TENTEN","2011-01-17","14:00",400,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,5,70,30,0,0,105,-32.0755555555556,-71.4844444444444,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LOS NARANJOS","2011-01-19","14:30",203,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0.1,0.3,0,0,0.4,-30.575,-71.1638888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","GUANILLA","2011-01-20","14:00",370,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,6,0,1,0,0,7,-30.7475,-71.0944444444444,"WGS84"
"Coquimbo","Choapa","Los Vilos","2010-2011","AGUA AMARILLA","2011-01-25","12:30",112,"Sin alerta","No definido","Faenas agrícolas y pecuarias",0,0,0,0,0,0,0.1,0.9,0,0,1,-31.8411111111111,-71.4780555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LOS PEÑONES","2011-01-25","17:00",135,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0.23,0,0,0,0.23,-30.5655555555556,-71.1947222222222,"WGS84"
"Coquimbo","Choapa","Los Vilos","2010-2011","EL TEJAR","2011-01-31","13:30",170,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.1,0,0,0,0.1,-32.1383333333333,-71.4966666666667,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LOS TELLOS","2011-02-02","14:30",170,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0.5,0,0,0,0,0,0,0.5,-30.5927777777778,-71.185,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","EL TRAPICHE","2011-02-02","16:20",215,"Sin alerta","No definido","Quema de desechos",0,0,0,0,0,0,0.8,0.2,0,0,1,-30.6255555555556,-71.3736111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","BARRAZA","2011-02-04","16:30",240,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.5,0,0,0,0.5,-30.6425,-71.4363888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","ALCONES ALTO","2011-02-12","11:00",190,"Sin alerta","No definido","Faenas agrícolas y pecuarias",0,0,0,0,0,0,0.1,0,0,0,0.1,-30.8483333333333,-71.515,"WGS84"
"Coquimbo","Choapa","Los Vilos","2010-2011","RIO MAR","2011-02-12","12:50",220,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0,2,1,0,0,3,-32.1294444444444,-71.4858333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","COSTANERA","2011-02-13","14:00",295,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.2,0,0,0,0,0,0,0.2,-30.6102777777778,-71.2063888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","COSTANERA 1","2011-02-14","11:00",495,"Sin alerta","No definido","Incendios intencionales",0,0,0,1.7,0,0,0.4,0,0,0,2.1,-30.6102777777778,-71.2063888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","LA PUNTILLA","2011-02-28","17:50",145,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.01,0,0,0,0,0,0,0.01,-30.6016666666667,-71.1955555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","GUAMALATA","2011-03-05","12:30",185,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.5,0,0,0,0.5,0,0,1,-30.6016666666667,-71.1852777777778,"WGS84"
"Coquimbo","Choapa","Los Vilos","2010-2011","FUNDO CAVILOLEN","2011-03-08","14:28",52,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0,0.01,0,0,0.01,-31.87,-71.3836111111111,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","HIJUELA EL OLIVO","2011-03-10","18:00",150,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0.01,0,0,0,0.01,-30.6372222222222,-71.2277777777778,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","GUAMALATA 1","2011-03-15","15:45",235,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0.02,0,0,1.05,0.03,0,0,1.1,-30.5572222222222,-71.1530555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","CAMARICO","2011-03-21","15:00",1250,"Sin alerta","No definido","Quema de desechos",0,0,0,5,0,0,1.5,0.5,0,0,7,-30.7694444444444,-71.3875,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","SONORA","2011-03-24","10:30",308,"Sin alerta","No definido","Faenas agrícolas y pecuarias",0,0,0,0,0,0,2.5,0,0,0,2.5,-30.6558333333333,-71.1863888888889,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","CAMARICO VIEJO","2011-03-24","15:00",1290,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,10,0,0,4,2.4,0,0,16.4,-30.6458333333333,-71.2383333333333,"WGS84"
"Coquimbo","Choapa","Canela","2010-2011","LOS TOME","2011-03-26","15:00",1345,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0.7,0,0,0,0.7,-31.4616666666667,-71.51,"WGS84"
"Coquimbo","Choapa","Salamanca","2010-2011","LOS QUILLAYES","2011-03-27","15:30",250,"Sin alerta","No definido","Otras actividades",0,0,0,0,0,0.8,3,6,0,0,9.8,-31.8577777777778,-70.6144444444444,"WGS84"
"Coquimbo","Limarí","Ovalle","2010-2011","ALGARROBO","2011-03-29","09:50",180,"Sin alerta","No definido","Faenas agrícolas y pecuarias",0,0,0,0,0,0,0.2,0,0,0,0.2,-30.6236111111111,-71.4672222222222,"WGS84"
"Coquimbo","Elqui","Vicuña","2010-2011","EL MAITEN","2011-04-16","15:00",600,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0.5,0,0.25,0.75,0.1,0,0,1.6,-29.9827777777778,-70.9641666666667,"WGS84"
"Coquimbo","Elqui","La Serena","2010-2011","PARQUE COLL","2011-06-15","14:30",135,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0,0.01,0,0,0,0.01,-29.915,-71.2527777777778,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","ALTO EL PUERTO","2010-09-04","17:30",360,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0.1,0,0,0.2,0,0,0.05,0.15,0,0,0.5,-33.0922222222222,-71.5875,"WGS84"
"Valparaíso","Valparaíso","Puchuncavi","2010-2011","EL MEDRANO","2010-09-09","15:40",95,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.06,0.04,0,0,0.1,-32.7083333333333,-71.4058333333333,"WGS84"
"Valparaíso","Quillota","Hijuelas","2010-2011","FUNDO LAS PALMAS","2010-09-17","22:28",1142,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,1,4,1,0,0,6,-32.9480555555556,-71.1127777777778,"WGS84"
"Valparaíso","San Felipe de Aconcagua","Llay-Llay","2010-2011","FUNDO LA ESTRELLA","2010-10-17","13:08",262,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,3,7,0,0,10,-32.8986111111111,-70.8122222222222,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2010-2011","SAUSALITO","2010-10-23","17:49",131,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.7,0.3,0,0,1,-33.0122222222222,-71.5316666666667,"WGS84"
"Valparaíso","San Antonio","San Antonio","2010-2011","FUNDO MIRAMAR","2010-10-26","16:45",45,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0,0,1,0,0,1,-33.57,-71.5908333333333,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","LAGUNA VERDE","2010-10-27","13:30",510,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,4,0,0,0,0,0,0,0,0.7,4.7,-33.1169444444444,-71.7061111111111,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","LAS CENIZAS  LOS COLECTIVOS","2010-10-27","14:35",1356,"Sin alerta","No definido","Incendios intencionales",4,0,0,2,0,0,0,0,0,1.9,7.9,-33.1025,-71.5341666666667,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","LAGUNA VERDE SECTOR LAS DOCAS","2010-10-31","15:28",223,"Sin alerta","No definido","Incendios intencionales",0.1,0,0,0,0.05,0,0,0,0,0,0.15,-33.1169444444444,-71.7061111111111,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2010-2011","FUNDO EL LLANO","2010-11-04","16:04",56,"Sin alerta","No definido","Actividades recreativas",0,0,0,0,0,0,0,0,0,0.03,0.03,-33.1147222222222,-71.5816666666667,"WGS84"
"Valparaíso","Quillota","La Cruz","2010-2011","CERRO LA PALMILLA","2010-11-05","16:45",135,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0,0,0,0,0.06,0,0,0.06,-32.8022222222222,-71.2052777777778,"WGS84"
"Valparaíso","Marga Marga","Villa Alemana","2010-2011","CEMENTERIO VILLA ALEMANA","2010-11-06","14:10",130,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,0.3,0.7,0,0,1,-33.0875,-71.3730555555556,"WGS84"
"Valparaíso","Valparaíso","Casablanca","2010-2011","CRUCE ORREGO","2010-11-06","14:33",94,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0.5,0,0,0.15,0.5,0,0,1.15,-33.3747222222222,-71.4455555555556,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2010-2011","QUINTA VERGARA","2010-11-06","16:26",119,"Sin alerta","No definido","Incendios intencionales",0,0.1,0,0,0,0,0.3,0.3,0,0,0.7,-33.0294444444444,-71.5533333333333,"WGS84"
"Valparaíso","Marga Marga","Villa Alemana","2010-2011","CARACOL POBLACION WILSON","2010-11-06","18:20",50,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,0,0.05,0,0,0.05,-33.0427777777778,-71.3505555555556,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","PREDIO FONASA","2010-11-06","18:40",73,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,0.05,0,0,0,0,0,0,0.05,-33.0811111111111,-71.6538888888889,"WGS84"
"Valparaíso","Valparaíso","Concón","2010-2011","FORESTAL ACE","2010-11-09","15:30",225,"Sin alerta","No definido","Incendios intencionales",3.2,0,0,35,0,0,0,15,0,0,53.2,-32.9597222222222,-71.4552777777778,"WGS84"
"Valparaíso","Valparaíso","Concón","2010-2011","LA SKEGA","2010-11-09","15:49",209,"Sin alerta","No definido","Incendios intencionales",3,0,0,8,0,0.5,2.5,4,0,0,18,-32.9677777777778,-71.5091666666667,"WGS84"
"Valparaíso","Valparaíso","Concón","2010-2011","VILLA PRIMAVERA","2010-11-09","16:15",79,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,0,0.08,0,0,0.08,-32.9405555555556,-71.5188888888889,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","POBLACION EL FOLCKLORE","2010-11-09","18:05",77,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.08,0,0,0.02,0.1,0,0,0.2,-33.0669444444444,-71.5727777777778,"WGS84"
"Valparaíso","Valparaíso","Puchuncavi","2010-2011","LOS MAITENES VALLE ALEGRE","2010-11-10","12:20",356,"Sin alerta","No definido","Incendios de causa desconocida",0,0,0,5.14,0,0,0,5,0,0,10.14,-32.0858333333333,-71.4211111111111,"WGS84"
"Valparaíso","Marga Marga","Villa Alemana","2010-2011","LOS MAITENES","2010-11-12","16:30",54,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0,0.1,0.6,0,0,0.7,-33.07,-71.3513888888889,"WGS84"
"Valparaíso","Marga Marga","Villa Alemana","2010-2011","EL  CEIBO","2010-11-14","15:25",302,"Sin alerta","No definido","Incendios intencionales",0,0,0,0,0,0.5,0.5,1,0,0,2,-33.035,-71.2969444444444,"WGS84"
"Valparaíso","Marga Marga","Villa Alemana","2010-2011","FUNDO OLIVARI","2010-11-15","13:55",108,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,1,2,0,0,3,-33.0694444444444,-71.3833333333333,"WGS84"
"Valparaíso","Valparaíso","Concón","2010-2011","LOMAS DE MONTEMAR","2010-11-15","15:19",190,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0.8,0,0,0,0,0,0.4,0,0.2,1.4,-32.9583333333333,-71.5302777777778,"WGS84"
"Valparaíso","San Antonio","El Tabo","2010-2011","EL MEMBRILLO","2010-11-16","15:45",107,"Sin alerta","No definido","Faenas forestales",0,0,0,0,0,0,0.02,0,0,0,0.02,-33.4341666666667,-71.63,"WGS84"
"Valparaíso","Valparaíso","Viña del Mar","2010-2011","SAN EXPEDITO","2010-11-18","13:45",47,"Sin alerta","No definido","Tránsito de personasvehículos o aeronaves",0,0,0,0,0,0,0.03,0.01,0,0,0.04,-33.0466666666667,-71.4986111111111,"WGS84"
"Valparaíso","Marga Marga","Quilpué","2010-2011","NORTE DEL CEMENTERIO","2010-11-18","14:00",112,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.03,0,0,0,0.03,0,0,0.06,-33.0327777777778,-71.4144444444444,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","VILLA EL EDEN ALTO","2010-11-18","17:00",97,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.02,0,0,0.01,0.03,0,0,0.06,-33.1086111111111,-71.6736111111111,"WGS84"
"Valparaíso","Valparaíso","Valparaíso","2010-2011","VILLA RAPA NUI","2010-11-19","17:50",62,"Sin alerta","No definido","Incendios intencionales",0,0,0,0.02,0,0,0,0.02,0,0,0.04,-33.0652777777778,-71.5808333333333,"WGS84"
