"Region","Provincia","Comuna","Temporada","Nombre","Fecha","HoraInicio","DuracionMinutos","Alerta","Escenario","Causa","SuperficieQuemadaPinoA","SuperficieQuemadaPinoB","SuperficieQuemadaPinoC","SuperficieQuemadaEucalipto","SuperficieQuemadaOtrasPlantas","SuperficieQuemadaArbolado","SuperficieQuemadaMatorral","SuperficieQuemadaPastizal","SuperficieQuemadaAgricola","SuperficieQuemadaDesechos","SuperficieQuemadaTotal","Latitud","Longitud","Datum"
"Coquimbo","Elqui","Coquimbo","2005-2006","QUEBRADA LAS CAÑAS","2005-11-01","11:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0.1,0,0,0,0.4,0,0,0.5,-30.1238888888889,-71.1747222222222,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PACIFICO","2005-11-17","19:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0.9,0,0,0.1,0,0,1,-29.8183333333333,-71.2822222222222,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","SANTA GRACIA","2005-11-21","10:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.2,0.8,0,0,1,-29.765,-71.0530555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2005-2006","LA TORRE","2005-11-22","22:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0.1,0,0,0.9,0.5,0,0,1.5,-30.6072222222222,-71.3836111111111,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PACIFICO 1","2005-11-25","13:45",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0.08,0,0,0.02,0,0,0.1,-29.8411111111111,-71.2783333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","CRUZ DEL MOLINO","2005-11-30","13:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0.1,0,0,0,0.4,0,0,0.5,-29.9061111111111,-71.2733333333333,"WGS84"
"Coquimbo","Limarí","Ovalle","2005-2006","SALALA","2005-12-04","10:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.1,0,0,0,0.1,-30.7030555555556,-71.5633333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PACIFICO 2","2005-12-04","20:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.5,0,0,0,0.5,-29.8411111111111,-71.2783333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PACIFICIO 3","2005-12-05","05:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,3.5,0,0,0,3.5,-29.8411111111111,-71.2783333333333,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PARQUE COLL","2005-12-12","11:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0.01,0.01,0.01,0,0,0.03,-29.9058333333333,-71.2630555555556,"WGS84"
"Coquimbo","Limarí","Ovalle","2005-2006","SAN JULIAN","2005-12-12","11:15",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,4,0,0,0,4,-30.6355555555556,-71.3111111111111,"WGS84"
"Coquimbo","Choapa","Illapel","2005-2006","PICHANILLA","2005-12-15","21:05",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.01,0,0,0.01,-31.6394444444444,-71.1669444444444,"WGS84"
"Coquimbo","Elqui","Coquimbo","2005-2006","CRUZ DE CAÑAS","2005-12-20","10:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,10,15,0,0,25,-30.0508333333333,-71.2144444444444,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","MATA GORDA","2005-12-21","12:50",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.1,0,0,0.1,-31.9041666666667,-71.4797222222222,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","TOTORALILLO","2005-12-29","13:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.1,0,0,0.1,-32.0208333333333,-71.5041666666667,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","QUILIMARI","2005-12-29","13:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0.04,0,0,0,0.06,0,0,0.1,-32.1208333333333,-71.475,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","SANTA ANA","2006-01-01","13:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.5,0,0,0.5,-29.8813888888889,-71.1072222222222,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","ALGARROBITO","2006-01-01","18:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.1,0,0,0.1,-29.9530555555556,-71.1294444444444,"WGS84"
"Coquimbo","Limarí","Rio Hurtado","2005-2006","SAMO ALTO","2005-12-27","14:50",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0.1,0,0.4,0,0,0.5,-30.4155555555556,-70.9727777777778,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","ALTOVALSOL","2006-01-03","15:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.1,0.4,0,0,0.5,-29.935,-71.1394444444445,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","SHELL","2006-01-20","18:45",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0,0.05,0,0,0.05,-31.9127777777778,-71.5011111111111,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","INFIERNILLO","2006-02-05","14:50",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,1,0.5,0,0,1.5,-32.0519444444444,-71.3036111111111,"WGS84"
"Coquimbo","Choapa","Salamanca","2005-2006","CERRO LA GLORIA","2006-02-09","11:30",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,3,5,5,0,0,13,-31.9588888888889,-70.9311111111111,"WGS84"
"Coquimbo","Elqui","La Serena","2005-2006","PARCELA 42","2006-02-10","14:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.07,0.2,0,0,0.27,-29.9336111111111,-71.2119444444444,"WGS84"
"Coquimbo","Choapa","Los Vilos","2005-2006","QUEBRADA LA HIGUERA","2006-02-14","14:10",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,0,0,0.05,0.05,0,0,0.1,-31.8433333333333,-71.3619444444444,"WGS84"
"Coquimbo","Elqui","Coquimbo","2005-2006","PLAYA BANCA","2006-02-17","11:00",-999999.99,"Sin alerta","No definido","No definida",0,0,0,0,7.5,0,27.5,300,0,0,335,-30.2186111111111,-71.4261111111111,"WGS84"
